timestamp,ETNZ | ACEA.ETNZ.SOG,JAPAN | ACEA.JAPAN.SOG,
54398.405,35.1447084233261,37.0691144708423,
54398.606,35.183585313175,36.9719222462203,
54398.906,35.1252699784017,36.9330453563715,
54399.106,35.1252699784017,36.9136069114471,
54399.406,35.0280777537797,36.9913606911447,
54399.606,35.0475161987041,36.9719222462203,
54399.906,35.0475161987041,36.9136069114471,
54400.106,35.0669546436285,37.0107991360691,
54400.306,35.1447084233261,37.0107991360691,
54400.606,35.2224622030238,37.0107991360691,
54400.906,35.1252699784017,36.9136069114471,
54401.206,35.0280777537797,36.7969762419007,
54401.506,34.8725701943845,36.7386609071274,
54401.806,34.9697624190065,36.7775377969762,
54402.105,34.8336933045356,36.7386609071274,
54402.306,34.8336933045356,36.8164146868251,
54402.606,34.7753779697624,36.5442764578834,
54402.907,34.7365010799136,36.2915766738661,
54403.206,34.5032397408207,35.8444924406048,
54403.506,34.3282937365011,35.5140388768898,
54403.806,34.1727861771058,35.3974082073434,
54404.106,34.0950323974082,35.2030237580993,
54404.406,34.133909287257,34.8142548596112,
54404.706,34.036717062635,34.4449244060475,
54404.907,33.9589632829374,34.3866090712743,
54405.205,33.7451403887689,34.1533477321814,
54405.405,33.7451403887689,33.8617710583153,
54405.606,33.9200863930886,33.5896328293737,
54405.906,34.0561555075594,33.414686825054,
54406.206,33.6479481641469,33.2203023758099,
54406.505,33.4924406047516,32.9676025917927,
54406.705,33.3758099352052,32.9676025917927,
54406.905,33.1814254859611,32.8509719222462,
54407.106,33.1425485961123,32.695464362851,
54407.307,33.1036717062635,32.6177105831534,
54407.606,33.0647948164147,32.5399568034557,
54407.905,33.0842332613391,32.5010799136069,
54408.106,32.9481641468683,32.5010799136069,
54408.306,32.8704103671706,32.4816414686825,
54408.606,32.7537796976242,32.3066954643629,
54408.906,32.7149028077754,31.9762419006479,
54409.106,32.695464362851,31.9762419006479,
54409.406,32.5788336933045,31.8382289416847,
54409.607,32.4038876889849,31.8596112311015,
54409.906,32.2872570194384,31.9179265658747,
54410.205,32.170626349892,31.7235421166307,
54410.405,32.170626349892,31.6652267818575,
54410.606,32.1123110151188,31.5874730021598,
54410.906,32.0928725701944,31.5097192224622,
54411.106,32.0345572354212,31.5272138228942,
54411.405,31.8207343412527,31.4902807775378,
54411.606,31.7818574514039,31.5874730021598,
54411.907,31.6652267818575,31.5272138228942,
54412.206,31.548596112311,31.4708423326134,
54412.506,31.548596112311,31.451403887689,
54412.706,31.5272138228942,31.3153347732181,
54412.906,31.5680345572354,31.3153347732181,
54413.106,31.4125269978402,31.2375809935205,
54413.406,31.2764578833693,31.2958963282937,
54413.705,31.2764578833693,31.3522678185745,
54413.906,31.2570194384449,31.3522678185745,
54414.106,31.3153347732181,31.3522678185745,
54414.306,31.3522678185745,31.3522678185745,
54414.605,31.3522678185745,31.2570194384449,
54414.806,31.3522678185745,31.1403887688985,
54415.006,31.4125269978402,31.0820734341253,
54415.306,31.4902807775378,31.0043196544277,
54415.606,31.6069114470842,30.9654427645788,
54415.906,31.5874730021598,30.8682505399568,
54416.106,31.5680345572354,30.7127429805616,
54416.406,31.4125269978402,30.5961123110151,
54416.606,31.1987041036717,30.6544276457883,
54416.908,31.0043196544277,30.732181425486,
54417.206,30.9848812095032,30.6544276457883,
54417.506,31.0626349892009,30.6155507559395,
54417.806,30.92656587473,30.6155507559395,
54418.006,30.7516198704104,30.6738660907127,
54418.305,30.7904967602592,30.5766738660907,
54418.506,30.8682505399568,30.5961123110151,
54418.807,31.1792656587473,30.6155507559395,
54419.106,31.1598272138229,30.6155507559395,
54419.306,31.2161987041037,30.6544276457883,
54419.506,31.1987041036717,30.9460043196544,
54419.806,31.1598272138229,31.1987041036717,
54420.106,31.2161987041037,31.3522678185745,
54420.306,31.1792656587473,31.5272138228942,
54420.605,31.4708423326134,31.7021598272138,
54420.806,31.451403887689,31.6846652267819,
54421.006,31.6263498920086,31.7624190064795,
54421.306,31.8382289416847,31.7818574514039,
54421.606,32.0345572354212,31.9568034557235,
54421.806,32.1511879049676,31.9568034557235,
54422.006,32.3650107991361,31.9373650107991,
54422.306,32.4233261339093,31.8790496760259,
54422.506,32.5399568034557,31.8790496760259,
54422.805,32.7149028077754,31.8382289416847,
54423.005,32.6760259179266,31.8790496760259,
54423.206,32.7343412526998,31.8984881209503,
54423.407,32.7149028077754,31.8207343412527,
54423.706,32.7343412526998,31.7818574514039,
54423.906,32.9092872570194,31.7235421166307,
54424.106,32.9870410367171,31.6263498920086,
54424.406,33.2980561555076,31.8596112311015,
54424.705,33.3758099352052,31.7818574514039,
54424.906,33.3563714902808,31.8012958963283,
54425.206,33.2397408207343,31.9373650107991,
54425.406,33.2591792656587,31.9568034557235,
54425.706,33.2397408207343,31.8382289416847,
54426.005,32.9870410367171,31.8596112311015,
54426.206,32.9092872570194,31.8984881209503,
54426.406,32.7343412526998,31.8382289416847,
54426.705,32.7149028077754,31.8012958963283,
54427.005,32.695464362851,31.8012958963283,
54427.205,32.7537796976242,31.7429805615551,
54427.406,32.8315334773218,31.6652267818575,
54427.606,32.8120950323974,31.5680345572354,
54427.906,33.1231101511879,31.451403887689,
54428.206,33.1619870410367,31.3522678185745,
54428.505,33.0842332613391,31.2161987041037,
54428.706,32.9287257019438,31.1792656587473,
54429.005,32.7343412526998,31.1792656587473,
54429.306,32.7149028077754,31.1015118790497,
54429.506,32.5399568034557,31.0626349892009,
54429.805,32.4427645788337,31.0820734341253,
54430.006,32.2483801295896,31.0820734341253,
54430.307,31.7624190064795,30.9848812095032,
54430.605,31.2161987041037,30.7516198704104,
54430.905,31.0237580993521,30.7516198704104,
54431.106,30.8488120950324,30.5377969762419,
54431.406,30.5572354211663,30.5377969762419,
54431.705,30.2656587473002,30.3239740820734,
54431.906,29.8185745140389,30.2267818574514,
54432.205,28.7300215982721,30.110151187905,
54432.406,28.3218142548596,30.0518358531317,
54432.606,27.9524838012959,29.8380129589633,
54432.906,27.5053995680346,29.5269978401728,
54433.106,27.097192224622,29.5269978401728,
54433.405,26.2613390928726,29.3714902807775,
54433.606,25.8920086393089,29.2159827213823,
54433.906,25.561555075594,28.4967602591793,
54434.106,25.2116630669546,28.5161987041037,
54434.405,24.5896328293736,28.5356371490281,
54434.605,24.4535637149028,28.6911447084233,
54434.906,24.3369330453564,28.866090712743,
54435.206,24.0259179265659,28.8466522678186,
54435.406,23.9287257019438,28.5745140388769,
54435.705,23.9481641468683,27.6997840172786,
