timestamp,ETNZ | ACEA.ETNZ.SOG,ORACLE | ACEA.ORACLE.SOG,
57912.295,34.4254859611231,34.755939524838,
57912.594,34.6004319654428,34.7365010799136,
57912.795,34.755939524838,34.7753779697624,
57913.095,34.7753779697624,34.9503239740821,
57913.4,34.7948164146868,35.1447084233261,
57913.695,35.1447084233261,35.7278617710583,
57913.995,35.3002159827214,35.8639308855292,
57914.294,35.6306695464363,36.097192224622,
57914.494,35.7278617710583,36.1749460043197,
57914.695,35.7473002159827,36.3693304535637,
57914.994,35.9222462203024,36.7386609071274,
57915.195,36.0583153347732,37.1274298056155,
57915.495,36.3498920086393,37.3995680345572,
57915.794,36.4665226781857,37.341252699784,
57915.995,36.5831533477322,37.3801295896328,
57916.295,36.7386609071274,37.6328293736501,
57916.594,36.8164146868251,37.8855291576674,
57916.895,37.1663066954644,38.5075593952484,
57917.194,37.2829373650108,38.7019438444924,
57917.395,37.3801295896328,38.7408207343413,
57917.595,37.4773218142549,38.6047516198704,
57917.895,37.438444924406,38.5269978401728,
57918.095,37.3995680345572,38.6047516198704,
57918.295,37.3606911447084,38.7408207343413,
57918.495,37.4967602591793,38.8574514038877,
57918.696,37.7105831533477,39.110151187905,
57918.994,37.963282937365,39.0907127429806,
57919.195,38.1965442764579,39.0129589632829,
57919.396,38.3131749460043,38.8380129589633,
57919.695,38.3909287257019,38.7991360691145,
57919.995,38.4492440604752,38.9352051835853,
57920.294,38.4103671706264,39.3434125269978,
57920.495,38.5075593952484,39.4406047516199,
57920.695,38.5269978401728,39.5377969762419,
57920.895,38.6047516198704,39.6738660907127,
57921.195,38.585313174946,39.6738660907127,
57921.395,38.6047516198704,39.6738660907127,
57921.6,38.5658747300216,39.6349892008639,
57921.895,38.5464362850972,39.7516198704104,
57922.095,38.5464362850972,39.7904967602592,
57922.395,38.3326133909287,39.7904967602592,
57922.694,38.1965442764579,39.8488120950324,
57922.895,38.2937365010799,39.829373650108,
57923.095,38.3326133909287,39.92656587473,
57923.296,38.3714902807775,39.9848812095032,
57923.595,38.4103671706264,39.9848812095032,
57923.795,38.488120950324,39.9848812095032,
57924.094,38.6241900647948,40.3153347732181,
57924.294,38.6436285097192,40.451403887689,
57924.495,38.7796976241901,40.4319654427646,
57924.794,38.8185745140389,40.451403887689,
57924.995,38.9935205183585,40.5874730021598,
57925.295,38.7796976241901,40.6846652267819,
57925.495,38.6241900647948,40.8984881209503,
57925.794,38.5464362850972,41.0928725701944,
57925.995,38.488120950324,41.2095032397408,
57926.195,38.585313174946,41.07343412527,
57926.495,38.682505399568,40.8984881209503,
57926.795,38.8380129589633,41.0539956803456,
57926.995,38.8380129589633,41.2095032397408,
57927.294,38.5658747300216,41.170626349892,
57927.495,38.3909287257019,41.0151187904968,
57927.794,38.2937365010799,40.8207343412527,
57928.094,38.4298056155508,40.645788336933,
57928.294,38.488120950324,40.7041036717063,
57928.495,38.5075593952484,40.8012958963283,
57928.795,38.5075593952484,40.8984881209503,
57929.097,38.4103671706264,41.0151187904968,
57929.394,38.2742980561555,40.9373650107991,
57929.595,38.1771058315335,40.7235421166307,
57929.895,38.2354211663067,40.5097192224622,
57930.095,38.3520518358531,40.5097192224622,
57930.395,38.4298056155508,40.6846652267819,
57930.595,38.4492440604752,40.6846652267819,
57930.895,38.3520518358531,40.8596112311015,
57931.194,38.3520518358531,41.0345572354212,
57931.395,38.3131749460043,41.07343412527,
57931.596,38.3326133909287,41.1900647948164,
57931.895,38.3714902807775,41.4233261339093,
57932.095,38.3909287257019,41.4622030237581,
57932.396,38.3909287257019,41.5982721382289,
57932.695,38.3909287257019,41.7732181425486,
57932.895,38.3520518358531,41.7732181425486,
57933.194,38.2742980561555,41.9676025917927,
57933.395,38.2548596112311,41.889848812095,
57933.695,38.488120950324,41.7149028077754,
57933.995,38.7213822894168,41.6177105831533,
57934.295,38.8380129589633,41.8315334773218,
57934.595,38.7796976241901,41.8704103671706,
57934.796,38.7796976241901,41.9287257019438,
57935.095,38.7408207343413,41.4622030237581,
57935.395,38.8963282937365,41.3455723542117,
57935.595,38.8768898488121,41.3844492440605,
57935.895,38.8768898488121,41.5788336933045,
57936.095,38.7991360691145,41.5010799136069,
57936.295,38.6436285097192,41.5010799136069,
57936.595,38.585313174946,41.4622030237581,
57936.894,38.5464362850972,41.1900647948164,
57937.095,38.6047516198704,41.170626349892,
57937.395,38.5464362850972,41.3066954643629,
57937.694,38.488120950324,41.3261339092873,
57937.895,38.3714902807775,41.1511879049676,
57938.195,38.2742980561555,40.9568034557235,
57938.495,38.2742980561555,40.7624190064795,
57938.695,38.3326133909287,40.8012958963283,
57938.995,38.2937365010799,40.8207343412527,
57939.295,38.2548596112311,40.7041036717063,
57939.594,38.0799136069114,40.8012958963283,
57939.794,37.963282937365,40.8401727861771,
57939.995,37.8855291576674,40.9956803455724,
57940.295,37.8272138228942,41.2289416846652,
57940.594,38.0410367170626,41.170626349892,
57940.795,38.0993520518359,41.4233261339093,
57941.095,38.0410367170626,41.5982721382289,
57941.295,38.1187904967603,41.5982721382289,
57941.495,38.1382289416847,41.6177105831533,
57941.696,38.2548596112311,41.6565874730022,
57941.995,38.4103671706264,41.7732181425486,
57942.295,38.7796976241901,41.792656587473,
57942.595,38.9546436285097,41.8509719222462,
57942.795,39.0323974082073,41.8120950323974,
57942.995,39.4794816414687,41.6760259179266,
57943.294,39.8488120950324,41.3844492440605,
57943.495,40.0820734341253,41.267818574514,
57943.795,40.2958963282937,41.170626349892,
57943.996,40.2375809935205,41.0345572354212,
